id,user_id,location_id,host_id,address,rate,avg_rating,total_reviews,service_fee,cleaning_fee,occupancy_tax,checkin,checkout,total_cost,adults,children,infants
0,4879,207,260,"8791 Herbert Throughway, Lake Sydnee, Montana",280,4.822314144150665,1776,40,21,42,Thu Jun 18 2020 19:15:05 GMT-0700 (PDT),Sun Jun 21 2020 19:15:05 GMT-0700 (PDT),240,5,10,1
1,359,172,107,"704 Eusebio Lakes, South Tevinmouth, Washington",150,4.746114579713499,1394,32,14,22.5,Mon Jun 15 2020 23:07:52 GMT-0700 (PDT),Fri Jun 26 2020 23:07:52 GMT-0700 (PDT),2618,2,12,0
2,278,380,190,"1837 Corrine Fort, East Audra, Kansas",60,4.350647778601782,1864,30,19,9,Sat Jul 04 2020 03:26:11 GMT-0700 (PDT),Fri Jul 10 2020 03:26:11 GMT-0700 (PDT),1728,5,11,1
3,4200,187,124,"153 Alycia Points, Jaimemouth, Vermont",87,2.27859647067233,679,43,24,13.049999999999999,Wed May 06 2020 10:13:43 GMT-0700 (PDT),Thu May 07 2020 10:13:43 GMT-0700 (PDT),283,1,7,0
4,712,484,196,"994 Bins Fall, Mabellestad, Massachusetts",260,1.4273888251321873,208,37,29,39,Sat May 30 2020 23:54:49 GMT-0700 (PDT),Tue Jun 02 2020 23:54:49 GMT-0700 (PDT),570,3,4,2
5,2769,57,172,"28304 Legros Roads, Harveyside, Utah",213,2.2007559414896116,702,45,11,31.95,Tue May 12 2020 20:53:15 GMT-0700 (PDT),Sun May 17 2020 20:53:15 GMT-0700 (PDT),965,4,8,1
6,4123,200,169,"785 Hirthe Canyon, South Celia, Nebraska",78,2.1753424773728396,413,45,12,11.7,Fri May 29 2020 12:36:34 GMT-0700 (PDT),Fri Jun 05 2020 12:36:34 GMT-0700 (PDT),518,7,7,2
7,2047,144,217,"00403 Philip Views, Skylarfort, Missouri",81,4.914040847096915,382,31,25,12.15,Mon May 25 2020 00:35:43 GMT-0700 (PDT),Sat Jun 06 2020 00:35:43 GMT-0700 (PDT),3516,7,6,2
8,1358,312,24,"5459 Runolfsdottir Motorway, Port Brookeside, Connecticut",195,3.800106249069498,1520,49,23,29.25,Mon May 18 2020 23:41:39 GMT-0700 (PDT),Fri May 29 2020 23:41:39 GMT-0700 (PDT),2838,1,9,0
9,4743,373,44,"10288 Karianne Springs, East Naomihaven, Maine",249,4.140259768205811,600,34,28,37.35,Mon Apr 27 2020 03:39:36 GMT-0700 (PDT),Mon May 11 2020 03:39:36 GMT-0700 (PDT),2296,5,12,0
10,2361,47,32,"76001 Cristina Tunnel, North Myrtie, North Dakota",57,3.137882110212386,1944,34,22,8.549999999999999,Wed Apr 22 2020 03:57:41 GMT-0700 (PDT),Sun May 03 2020 03:57:41 GMT-0700 (PDT),1969,6,2,0
11,2537,21,95,"921 Ana Fork, Rettaborough, Arizona",117,2.203398922695739,1856,33,29,17.55,Sun May 31 2020 17:07:01 GMT-0700 (PDT),Sun Jun 07 2020 17:07:01 GMT-0700 (PDT),1575,6,12,0
12,568,349,28,"6194 Laisha Road, West Cleve, Nevada",234,2.610455935703315,596,48,13,35.1,Wed Apr 22 2020 14:08:00 GMT-0700 (PDT),Mon May 04 2020 14:08:00 GMT-0700 (PDT),1356,7,5,3
13,969,419,271,"599 Turcotte Lake, Mooreberg, New York",264,4.2777859552056885,1315,33,13,39.6,Thu Jun 18 2020 09:04:37 GMT-0700 (PDT),Thu Jul 02 2020 09:04:37 GMT-0700 (PDT),2240,5,4,2
14,4061,276,249,"296 Hickle Harbor, Lake Jermey, Nebraska",237,2.1888593949341892,1778,47,21,35.55,Thu May 28 2020 17:20:39 GMT-0700 (PDT),Fri Jun 05 2020 17:20:39 GMT-0700 (PDT),2296,2,12,0
15,22,51,132,"1269 Lennie Center, South Floridatown, Vermont",188,3.215698861913257,1562,41,24,28.2,Mon Jun 01 2020 19:54:32 GMT-0700 (PDT),Thu Jun 04 2020 19:54:32 GMT-0700 (PDT),699,3,11,1
16,4495,141,46,"0843 Bonita Place, Kulasberg, California",92,3.4805351017056774,1574,30,24,13.799999999999999,Thu May 07 2020 00:38:47 GMT-0700 (PDT),Sun May 10 2020 00:38:47 GMT-0700 (PDT),768,5,3,3
17,264,31,107,"44302 Rex Brook, East Lenny, Illinois",295,1.6425370590832298,258,34,23,44.25,Wed Apr 22 2020 11:04:08 GMT-0700 (PDT),Tue Apr 28 2020 11:04:08 GMT-0700 (PDT),546,6,10,0
18,446,42,146,"75658 Zachery Mountains, West Daniellafurt, Missouri",132,1.4149200883414823,1146,37,22,19.8,Tue Jun 09 2020 12:54:53 GMT-0700 (PDT),Wed Jun 17 2020 12:54:53 GMT-0700 (PDT),528,1,9,3
19,4796,246,178,"62571 Jace Prairie, Mercedesborough, Missouri",165,3.3613390883705234,754,48,16,24.75,Wed Jun 10 2020 15:40:00 GMT-0700 (PDT),Sat Jun 20 2020 15:40:00 GMT-0700 (PDT),2160,7,12,1
20,3310,485,132,"16679 Kuhn Summit, Emanuelfurt, South Carolina",176,1.6169774804847141,599,48,12,26.4,Sun Apr 26 2020 04:26:11 GMT-0700 (PDT),Wed Apr 29 2020 04:26:11 GMT-0700 (PDT),885,7,8,0
21,918,226,227,"138 Spinka Ford, South Ottilie, Maryland",271,3.265108493357006,1094,32,20,40.65,Sun Jun 21 2020 06:01:01 GMT-0700 (PDT),Tue Jun 30 2020 06:01:01 GMT-0700 (PDT),504,7,4,1
22,4707,303,264,"02855 Kacie Path, Priceport, Pennsylvania",242,3.613165588516084,719,38,11,36.3,Fri May 22 2020 06:31:23 GMT-0700 (PDT),Tue Jun 02 2020 06:31:23 GMT-0700 (PDT),2200,5,8,2
23,4417,280,58,"430 Clark Track, New Rafaelview, Tennessee",260,1.0293960366392225,1420,44,29,39,Mon Apr 20 2020 14:24:53 GMT-0700 (PDT),Sun Apr 26 2020 14:24:53 GMT-0700 (PDT),930,2,9,2
24,531,26,289,"682 Helene Square, Reeseshire, Indiana",155,1.1016865830025435,311,32,27,23.25,Thu Apr 16 2020 06:29:40 GMT-0700 (PDT),Thu Apr 30 2020 06:29:40 GMT-0700 (PDT),2954,2,5,3
25,838,130,236,"8560 Mariela Via, Priceland, Alabama",78,4.478469403198418,469,47,20,11.7,Fri Apr 17 2020 10:17:03 GMT-0700 (PDT),Sun Apr 19 2020 10:17:03 GMT-0700 (PDT),344,3,4,2
26,3208,208,233,"36430 Pagac Point, West Keonfurt, Florida",194,2.714512482367936,1825,45,16,29.099999999999998,Wed Jun 10 2020 08:00:41 GMT-0700 (PDT),Sat Jun 20 2020 08:00:41 GMT-0700 (PDT),1430,6,10,0
27,1540,98,27,"29989 Wilber Summit, Oberbrunnerfort, Arizona",227,4.177789760979092,907,47,19,34.05,Sat Apr 11 2020 17:12:57 GMT-0700 (PDT),Sun Apr 19 2020 17:12:57 GMT-0700 (PDT),1168,4,2,0
28,234,314,181,"9500 Derek Ford, Nedrachester, Virginia",193,2.8051163563279173,921,32,13,28.95,Thu May 28 2020 15:01:13 GMT-0700 (PDT),Tue Jun 02 2020 15:01:13 GMT-0700 (PDT),935,3,7,3
29,2306,81,107,"09275 Jody Neck, Port Toymouth, Oregon",161,4.336674533727919,213,35,10,24.15,Tue Jun 16 2020 22:47:35 GMT-0700 (PDT),Fri Jun 19 2020 22:47:35 GMT-0700 (PDT),486,5,3,1
30,3326,411,195,"8157 Greenholt Square, East Amandashire, Vermont",123,3.2499879928216586,1017,38,20,18.45,Sat May 02 2020 20:54:55 GMT-0700 (PDT),Mon May 11 2020 20:54:55 GMT-0700 (PDT),2196,4,7,2
31,1933,360,169,"61435 Henri Place, Lowemouth, Alabama",235,3.1341561534095224,1401,50,27,35.25,Thu Jun 04 2020 14:53:51 GMT-0700 (PDT),Tue Jun 09 2020 14:53:51 GMT-0700 (PDT),1175,4,9,1
32,2253,409,16,"97048 Vance Plain, South Leonorahaven, Alaska",114,3.2439532875106085,525,49,24,17.099999999999998,Mon May 25 2020 22:40:06 GMT-0700 (PDT),Thu Jun 04 2020 22:40:06 GMT-0700 (PDT),2720,5,4,2
33,3405,454,231,"8459 Howe Cliffs, New Jacintheburgh, South Dakota",279,3.9151030506881668,53,33,27,41.85,Fri May 15 2020 04:31:26 GMT-0700 (PDT),Thu May 21 2020 04:31:26 GMT-0700 (PDT),312,1,3,3
34,3668,236,250,"270 Jordi Motorway, Emardport, Ohio",261,4.355357205028878,642,39,14,39.15,Wed Jun 03 2020 17:10:39 GMT-0700 (PDT),Sun Jun 07 2020 17:10:39 GMT-0700 (PDT),420,1,4,1
35,257,134,14,"202 Kilback Route, Heberborough, Nevada",89,3.5467867796975634,385,30,12,13.35,Tue Apr 28 2020 08:57:11 GMT-0700 (PDT),Sun May 10 2020 08:57:11 GMT-0700 (PDT),3264,5,8,1
36,4938,415,33,"9839 Nova Walks, South Hillardborough, Kansas",62,2.212963520141214,1081,36,19,9.299999999999999,Mon Jun 29 2020 07:02:33 GMT-0700 (PDT),Sun Jul 05 2020 07:02:33 GMT-0700 (PDT),1686,4,2,3
37,2165,335,224,"0569 Rosemary Landing, East Sammychester, Maine",146,3.8468967862782986,135,44,14,21.9,Wed Jun 03 2020 11:09:10 GMT-0700 (PDT),Wed Jun 10 2020 11:09:10 GMT-0700 (PDT),1862,5,1,0
38,3041,130,236,"8560 Mariela Via, Priceland, Alabama",78,4.478469403198418,469,47,20,11.7,Wed Jul 01 2020 23:40:18 GMT-0700 (PDT),Mon Jul 06 2020 23:40:18 GMT-0700 (PDT),270,5,2,2
