location_id,host_id,address,rate,avg_rating,total_reviews,service_fee,cleaning_fee,occupancy_tax
0,14,"75314 Wilderman Corners, Lake Reecefort, Rhode Island",273,3.6295238049998186,1433,30,28,40.949999999999996
1,279,"3864 Nina Loaf, Port Concepcion, Vermont",95,1.2810269559588647,572,36,22,14.25
2,196,"028 Gabe Cliff, Hayleeville, South Carolina",230,1.166415142295361,953,37,14,34.5
3,264,"68695 Jast Via, Port Ernaton, Tennessee",201,4.382237614746366,227,31,12,30.15
4,220,"08512 Jon Vista, O'Konton, Florida",88,1.1993542933547776,892,50,12,13.2
5,248,"313 Rau Common, West Aurelie, Texas",252,4.0113586564434485,1400,45,29,37.8
6,284,"45398 Ofelia Center, East Lindamouth, Arizona",102,4.4226806612457406,1379,47,22,15.299999999999999
7,148,"570 Heller Wells, Bartonland, Oklahoma",129,3.202380350117338,508,36,15,19.349999999999998
8,114,"25455 Elwyn Groves, North Antonioville, Maryland",94,2.401360575034962,1536,30,22,14.1
9,282,"9808 Parisian Ridge, New Randitown, Florida",207,4.894975520118057,580,44,26,31.049999999999997
10,96,"2144 Bode Station, South Alvis, Virginia",120,3.1556198405910667,1642,30,29,18
11,45,"174 Tyrell Mission, South Marianemouth, Utah",92,3.274412274986993,1989,37,14,13.799999999999999
12,297,"3629 McLaughlin Gardens, Emmanuellehaven, Iowa",228,2.2667824179936646,1975,49,27,34.199999999999996
13,148,"86727 Kayli Row, New Aliya, Washington",136,1.3749291390627933,1006,44,28,20.4
14,253,"70046 Konopelski Walks, West Kane, Michigan",105,1.7511166145759416,1959,37,23,15.75
15,200,"57700 Santina Highway, North Otha, Kentucky",273,4.08058651558455,1202,50,14,40.949999999999996
16,133,"2748 Beier Trafficway, Ankundingville, Arkansas",106,4.414525996241561,365,50,11,15.899999999999999
17,119,"66436 Kolby Cove, East Laisha, Georgia",280,1.7379568107690053,1758,46,25,42
18,270,"5910 Carter Dam, Batzbury, Pennsylvania",247,4.1661499258730945,1930,42,12,37.05
19,157,"3793 Boyer River, Lake Cristian, Virginia",286,3.180131644961329,529,33,14,42.9
20,214,"38002 Orn Isle, Nicolasstad, Arizona",226,2.284237057628763,1858,40,19,33.9
21,95,"921 Ana Fork, Rettaborough, Arizona",117,2.203398922695739,1856,33,29,17.55
22,296,"25711 Myrna Meadow, North Tremaineview, Vermont",65,3.2850410187940517,947,43,19,9.75
23,294,"481 Streich Highway, East Jenningsside, Washington",117,3.169190419344834,35,49,26,17.55
24,261,"81697 Torp Mountains, Darrelchester, Montana",245,3.497358162224539,854,35,21,36.75
25,23,"0984 Berry Manor, East Sasha, North Dakota",298,1.5100624315179476,1339,47,19,44.699999999999996
26,289,"682 Helene Square, Reeseshire, Indiana",155,1.1016865830025435,311,32,27,23.25
27,87,"8749 Howell Shore, Neomaberg, Massachusetts",119,2.2482074681647735,420,41,16,17.849999999999998
